time,value
2023-09-28T17:37:00.78844728Z,0
2023-09-28T17:38:07.888616072Z,21
2023-09-28T17:38:10.538754009Z,12
2023-09-28T17:38:13.648910495Z,0
2023-09-28T17:38:16.468684874Z,27
2023-09-28T17:38:19.218684065Z,28
2023-09-28T17:38:21.889013584Z,30
2023-09-28T17:38:24.608724064Z,31
2023-09-28T17:38:27.538786371Z,33
2023-09-28T17:38:30.388949039Z,34
2023-09-28T17:38:33.158885331Z,35
2023-09-28T17:38:40.158712465Z,0
2023-09-28T17:38:43.039058107Z,31
2023-09-28T17:38:46.086463601Z,33
2023-09-28T17:38:48.808808163Z,34
2023-09-28T17:38:55.79350042Z,35
2023-09-28T17:39:00.644652409Z,36
2023-09-28T17:39:11.883775298Z,37
2023-09-28T17:39:18.723692132Z,38
2023-09-28T17:39:23.523684823Z,37
2023-09-28T17:39:26.523450293Z,38
2023-09-28T17:39:37.378804145Z,0
2023-09-28T17:39:40.068603543Z,22
2023-09-28T17:39:43.108840087Z,21
2023-09-28T17:39:52.238883501Z,22
2023-09-28T17:40:04.893558216Z,23
2023-09-28T17:40:07.90414713Z,22
2023-09-28T17:40:12.373550671Z,23
2023-09-28T17:40:25.678618554Z,22
2023-09-28T17:40:36.638579963Z,21
2023-09-28T17:40:39.638677367Z,22
2023-09-28T17:40:42.188659805Z,21
2023-09-28T17:41:01.958633934Z,20
2023-09-28T17:41:12.604262445Z,0
2023-09-28T17:41:17.593635792Z,37
2023-09-28T17:41:22.843665464Z,31
2023-09-28T17:41:25.273716233Z,33
2023-09-28T17:41:27.953686748Z,32
2023-09-28T17:41:30.843588864Z,34
2023-09-28T17:41:33.553885267Z,35
2023-09-28T17:41:42.813660169Z,36
2023-09-28T17:41:49.504186656Z,35
2023-09-28T17:41:54.263459306Z,36
2023-09-28T17:42:03.703590838Z,35
2023-09-28T17:42:20.414183263Z,34
2023-09-28T17:42:23.283493323Z,35
2023-09-28T17:42:26.423619292Z,34
2023-09-28T17:42:31.363733481Z,33
2023-09-28T17:42:38.304284071Z,34
2023-09-28T17:42:41.393648196Z,33
2023-09-28T17:42:45.88376938Z,32
2023-09-28T17:42:48.743706618Z,33
2023-09-28T17:42:51.854068644Z,32
2023-09-28T17:43:06.868641412Z,31
2023-09-28T17:43:13.798802712Z,32
2023-09-28T17:43:16.908871872Z,31
